,the_geom,NAME
4078,POINT (-73.98606587353645 40.757826351422054),1 ASTOR PLAZA
17416,POINT (-73.9514269093981 40.766481786557904),1 EAST RIVER PLACE
2261,POINT (-73.86440957253046 40.73471518658648),1 LEFRAK CITY PLAZA
7004,POINT (-74.00706295800028 40.72035092811359),1 PRECINCT
17131,POINT (-74.01555627730625 40.705818063302274),1 WESTERN UNION INTERNATIONAL PLAZA
13992,POINT (-74.01306064551544 40.713099543034446),1 WORLD TRADE CENTER
8851,POINT (-73.99861497551115 40.74275700328162),10 PRECINCT
194,POINT (-73.97321844913552 40.72424708531616),10 STREET PEDESTRIAN
11104,POINT (-73.81647078034047 40.58623599751199),100 PRECINCT
17601,POINT (-73.95725610711162 40.68603714938339),100 QUINCY COMMUNITY GARDEN
9682,POINT (-73.95009449038612 40.78842626375681),100 ST DEPOT
1205,POINT (-73.89927928453221 40.646523220213545),100% PLAYGROUND
6210,POINT (-73.75004147100258 40.6029119064101),101 PRECINCT
4607,POINT (-73.88013022715197 40.841027281679786),1010 E 178 ST HOUSES
9892,POINT (-73.83156830775991 40.69871593105602),102 PRECINCT
464,POINT (-73.83044358027549 40.65618522962497),102 ST BRIDGE OVR HAWTREE BASIN
7735,POINT (-73.79270419036794 40.70708491194628),103 PRECINCT
2608,POINT (-73.89361659984134 40.70430234722551),104 PRECINCT
9162,POINT (-73.92054985455485 40.66509508932063),104-14 TAPSCOTT ST HOUSES
7345,POINT (-73.73514378804154 40.72626365371581),105 PRECINCT
4450,POINT (-73.83980247285199 40.68222467001398),106 PRECINCT
10292,POINT (-73.96550351195961 40.76723666355479),107 INFANTRY ARMORY
11096,POINT (-73.81062641429929 40.72998592612611),107 PRECINCT
1333,POINT (-73.95472072602425 40.74299817208082),108 PRECINCT
3599,POINT (-73.82699849089369 40.762348178860314),109 PRECINCT
1478,POINT (-74.0204420040315 40.53046401700582),11
218,POINT (-73.99067492957354 40.771250110203546),11 AV BR OV AMTRK   30 ST BRCH
802,POINT (-74.00385988006774 40.630617900277585),11 AVE OVER LIRR NYCT SEA BCH
203,POINT (-74.00268009957013 40.75483425993251),11 AVE VIADUCT OV LIRR W SD YD
19146,POINT (-73.97843822433822 40.726828643678495),11 BC SERENITY GARDEN
9825,POINT (-73.99143943123866 40.749156124142196),11 PENN PZ
3515,POINT (-73.87016203428925 40.745174591935154),110 PRECINCT
15354,POINT (-73.94736778017842 40.7961889871478),110 STREET BLOCK ASSOCIATION GARDEN
6358,POINT (-73.76767648647242 40.76023204789344),111 PRECINCT
11627,POINT (-73.85104661777164 40.72229503753091),112 PRECINCT
11095,POINT (-73.77573705163745 40.67977813412464),113 PRECINCT
11085,POINT (-73.91530286595032 40.76932926197115),114 PRECINCT
10904,POINT (-73.87553354132712 40.75684578221111),115 PRECINCT
7953,POINT (-73.95357130159637 40.80294361453028),115 STREET LIBRARY
9669,POINT (-73.90744518640508 40.829957731069264),1162 WASHINGTON AVE HOUSE
15878,POINT (-73.89767650716645 40.86285777399881),1199 FUTURE OF AMERICA LEARNING CENTER
6435,POINT (-74.07740518196624 40.64466935167298),120 PRECINCT
15316,POINT (-74.15035476082018 40.62365120548536),121 PRECINCT
12131,POINT (-74.10552190932367 40.57420486837823),122 PRECINCT
10569,POINT (-74.24993557906231 40.51187776285621),123 PRECINCT
12535,POINT (-73.93485033789635 40.80305593547903),125 STREET LIBRARY
6992,POINT (-74.06633758059829 40.6656322638412),13
812,POINT (-73.99943486015856 40.62793710077881),13 AVE OVER LIRR NYCT SEA BCH
5117,POINT (-73.9827191159679 40.73674511513822),13 PRECINCT
365,POINT (-73.72992541056341 40.67884178990566),130 AV BR OV BELT-LRLTN PKW SB
364,POINT (-73.72970944973183 40.67867771987203),130 AV BR OVR BELT-LRLTN PKWY NB
351,POINT (-73.81045293047191 40.66663508059717),130 ST BR OV BELT SOUTHERN PKWY
13915,POINT (-73.95310859080196 40.80406386170694),131 SAINT NICHOLAS AVE HOUSES
10734,POINT (-73.94346913469236 40.81372309135207),133 SWING STREET GARDEN
3032,POINT (-73.83300654567036 40.78482768703758),136 STREET PLAYGROUND
19385,POINT (-73.91556280212522 40.80570912380239),138 STREET COMMUNITY GARDEN
11608,POINT (-73.99654904459304 40.736101792697504),13TH STREET REPERTORY
386,POINT (-73.81678346994171 40.788152440483664),14 AV OV BELT CROSS ISL PKWY
816,POINT (-73.9973966300072 40.626536220395714),14 AVE OVER LIRR NYCT SEA BCH
9413,POINT (-73.99166020798859 40.751738511344264),14 PENN PZ
19137,POINT (-74.00828093616919 40.74272768763408),14 STREET PARK
2572,POINT (-73.98332039267838 40.73136782297849),14 STREET Y
976,POINT (-73.96950719795514 40.72527140994572),14 STREET/CANARSIE TUBE
11,POINT (-73.93314181020845 40.819480548636484),145
8,POINT (-73.93236490031313 40.81950790508749),145
131,POINT (-73.93212917315464 40.81947961779272),145 ST BRIDGE PED AND BIKE
130,POINT (-73.93356569314234 40.81958142887047),145 ST BRIDGE PED AND BIKE
20002,POINT (-73.96171449895571 40.73205745014364),145 WEST STREET PARK
396,POINT (-73.81826404001143 40.76197354990785),147 ST BR OVR LIRR PORT WASH BR
387,POINT (-73.81937372953449 40.789212419882624),147 ST OV BELT CROSS ISLD PKWY
10155,POINT (-73.88105857785331 40.82589842326958),1471 WATSON AVE HOUSE
220,POINT (-73.9510965599298 40.829220520333855),148 STREET PEDESTRIAN
398,POINT (-73.81490572983861 40.76267103016021),149 PLC LIRR PORT WASH BRIDGE
385,POINT (-73.81603416066326 40.78788882683831),149 ST BR OV BELT CROSS IS PKWY
397,POINT (-73.81611636010126 40.762548329871514),149 ST BR OVR LIRR PORT WASH BR
970,POINT (-73.93371468699415 40.81933609880314),149 STREET TUBE
1476,POINT (-74.04094097276231 40.533079915516936),15
824,POINT (-73.99596006011926 40.62433539988779),15 AVE BR OVR LIRR NYCT SEABCH
821,POINT (-73.99467103017966 40.62558956027693),15 AVENUE OVER LIRR BAY RIDGE
2024,POINT (-73.99090689545537 40.74990295010366),15 PENN PLZ
808,POINT (-73.96208283008812 40.6290037900752),15 ST FOOTBRIDGE
384,POINT (-73.81332863962065 40.78718260020856),150 ST BR OV BELT CROSS IS PKWY
399,POINT (-73.81393407995024 40.762679070092574),150 ST BR OVR LIRR PORT WASH BR
4677,POINT (-73.9753462637056 40.78592157147385),154 W 84 STREET HOUSES
918,POINT (-73.94950865156542 40.834310132050476),155 STREET PEDESTRIAN
11554,POINT (-73.7866449846525 40.684582086922454),157 ST PLAYGROUND
822,POINT (-73.99129667927829 40.62539839977445),16 AV BRDGE OVER LIRR BAY RDGE
825,POINT (-73.9939370193468 40.62278515034524),16 AVE BRDG OVR NYCT SEA BCH
5390,POINT (-73.95246959578226 40.584399696219506),16 LINDENS TRIANGLE
5765,POINT (-73.93834610448083 40.75853083435918),16 OAKS GROVE
12021,POINT (-73.98101521411913 40.68681725706227),16 SYCAMORES PLAYGROUND
381,POINT (-73.80239925854023 40.78608422772805),160 ST BR OV BELT CROSS IS PKWY
969,POINT (-73.93422437856573 40.83001585289525),161 ST TUBE/CONCOURSE
13924,POINT (-73.92533153048181 40.83067913976571),164TH STREET GARAGE
478,POINT (-73.79912479017791 40.76143432069513),167 ST FOOTBRIDGE
1541,POINT (-74.13194859044482 40.681796352304126),17
820,POINT (-73.9869293603229 40.62581548967741),17 AV BRDGE OVER LIRR BAY RDGE
843,POINT (-74.01175731417418 40.6017019701923),17 AV PEDESTRIAN
828,POINT (-73.99153901997943 40.6213792397243),17 AVE BRDG OVR NYCT SEA BCH
6736,POINT (-73.97073177329641 40.75684314764047),17 PRECINCT
96,POINT (-73.88117645435611 40.83507399736722),174 ST
630,POINT (-73.88168458028164 40.835353657659674),174 ST NORTH PED BR OVER I-895
631,POINT (-73.8817710586994 40.83520622954678),174 ST SOUTH PED BR OVER I-895
7692,POINT (-73.77798172645521 40.69357117715556),174 STREET PLAYGROUND
15355,POINT (-73.90962117849706 40.84803022741049),176 STREET COMMUNITY GARDEN
266,POINT (-73.94245924784514 40.84764916602924),176 STREET PEDESTRIAN
6985,POINT (-74.0603581176715 40.67148916543917),18
830,POINT (-73.98920711009612 40.61999856033033),18 AVE BRDG OVR NYCT SEA BCH
818,POINT (-73.98306198925196 40.626208969893526),18 AVENUE OVER LIRR BAY RIDGE
831,POINT (-73.98715015051616 40.618704979812726),19 AVE BRDG OVR NYCT SEA BCH
6427,POINT (-73.9638240894205 40.76710374923323),19 PRECINCT
4406,POINT (-73.93920816203514 40.67403277977486),196 ALBANY AVENUE DAY CARE CENTER
783,POINT (-74.02602928082112 40.640299050462055),2 AVENUE OVER LIRR BAY RIDGE
17208,POINT (-73.97404740100195 40.75283621362919),2 GRAND CENTRAL TOWER
15359,POINT (-74.01083566746772 40.711983229997315),2 WORLD TRADE CENTER
832,POINT (-73.98496679954593 40.61739390961252),20 AVE BRDG OVR NYCT SEA BCH
7581,POINT (-73.97506760774992 40.78411568713679),20 PRECINCT
542,POINT (-73.8762043200243 40.870339509972844),204 ST FOOTBRIDGE
886,POINT (-73.92925546398926 40.87381210176656),204 ST PED BR OV METRO N RAIL
1024,POINT (-73.91505416565064 40.86647572734032),207 ST YARD
833,POINT (-73.98313544024265 40.61576525020658),21 AVENUE OVER NYCT SEA BEACH
2013,POINT (-73.97742017875304 40.760473331630045),21 CLUB
8178,POINT (-73.9974246932908 40.75117506946279),21 PENN PLAZA
7192,POINT (-73.76534571363894 40.73926519074408),210 STREET PLAYGROUND
19627,POINT (-73.74784702999362 40.71160316597692),211 MALLS
444,POINT (-73.76132079014985 40.76416773009605),221 ST OVER LIRR PORT WASH BRDG
355,POINT (-73.75213309976033 40.665838329942076),225 ST OVER BELT SOUTHERN PKWY
19231,POINT (-73.74717844967866 40.673811436024614),225 STREET MALLS
1421,POINT (-73.86421867342794 40.89081401762678),227 STREET PLAYGROUND
3121,POINT (-73.94726119229192 40.78912407050891),23 PRECINCT
500,POINT (-73.91468106989082 40.88465609053835),232 ST BRDG OVER H HUDSON PKWY
170,POINT (-73.91236996499501 40.88658216476516),235 ST-W 236 ST PED
501,POINT (-73.90878481895741 40.88939763821666),239 ST BRDGE OVER H HUDSON PKWY
6553,POINT (-73.84935368480184 40.901124154008784),239 ST YARD
4146,POINT (-73.96736043803713 40.79643767804016),24 PRECINCT
19852,POINT (-73.97369512925596 40.73511544209893),24 STREET FERRY LANDING
10896,POINT (-73.95862935825127 40.75951491145893),24 SYCAMORES PARK
869,POINT (-73.90818626097973 40.89360380317894),246 ST BRDGE OV H HUDSON PKWY
7649,POINT (-73.9410780501299 40.800723531134686),25 PRECINCT
503,POINT (-73.90690608933797 40.899256070374705),252 ST BRDGE OV H HUDSON PKWY
5543,POINT (-73.95653286882555 40.81468608554985),26 PRECINCT
851,POINT (-73.99171480106999 40.587658717972424),27 AV PEDESTRIAN
132,POINT (-73.76817784834009 40.77872219308121),28 AV PEDESTRIAN
3079,POINT (-73.95253174181452 40.8087502652201),28 PRECINCT
136,POINT (-73.93264383502428 40.80748582906612),3
7,POINT (-73.99021820844462 40.67614862375878),3
55,POINT (-73.93183034872831 40.80786246053095),3
135,POINT (-73.933127752929 40.80738730455517),3 AV BRIDGE PED AND BIKE
787,POINT (-74.02393912988089 40.63892780037139),3 AVE OVER LIRR BAY RDGE LINE
133,POINT (-73.93454864454048 40.80564228988079),3 AVE-E 128 STREET PED
95,POINT (-73.98876832456823 40.67417974464572),3 AVENUE
134,POINT (-73.93178265616959 40.80788100477584),3 AVENUE BRIDGE BIKE
