,DBA,BORO,STREET,ZIPCODE
2670,SPEEDY'S DELI,Manhattan,BROADWAY,10001.0
14992,CAJUN SEA,Manhattan,WEST   33 STREET,10001.0
34799,GOPCHANG STORY NY,Manhattan,5 AVENUE,10001.0
26360,HAMPTON INN-HERALD SQUARE,Manhattan,WEST   31 STREET,10001.0
34811,JUST SALAD,Manhattan,WEST   34 STREET,10001.0
52302,MCDONALD'S,Manhattan,8 AVENUE,10001.0
9013,STARBUCKS,Manhattan,6 AVENUE,10001.0
76231,PISILLO ITALIAN PANINI,Manhattan,WEST   25 STREET,10001.0
28863,HOOPS CABARET AND SPORTS BAR,Manhattan,WEST   33 STREET,10001.0
26366,MULBERRY AND VINE,Manhattan,WEST   27 STREET,10001.0
88330,CEDRIC'S AT THE SHED,Manhattan,WEST   30 STREET,10001.0
56220,NAYA,Manhattan,7 AVENUE,10001.0
29766,KOKU RAMEN,Manhattan,WEST   32 STREET,10001.0
15041,33 GOURMET,Manhattan,WEST   33 STREET,10001.0
1096,BOBA GUYS,Manhattan,7 AVENUE,10001.0
45571,OSAMIL,Manhattan,WEST   31 STREET,10001.0
2811,ANDIAMO PIZZA,Manhattan,6 AVENUE,10001.0
1864,SWEETGREEN,Manhattan,BROADWAY,10001.0
5623,E-MO KIMBOB,Manhattan,WEST   32 STREET,10001.0
34951,TAKUMI TACO,Manhattan,WEST   32 STREET,10001.0
7334,UDON LAB,Manhattan,WEST   32 STREET,10001.0
52387,HUTAOLI MUSIC RESTAURANT & BAR,Manhattan,WEST   33 STREET,10001.0
45374,KARAOKE CITY,Manhattan,WEST   32 STREET,10001.0
2841,HAN BAT RESTAURANT,Manhattan,WEST   35 STREET,10001.0
11298,AARONS CHINESE AND THAI,Manhattan,9 AVENUE,10001.0
21103,CORK & KALE AT EVEN HOTEL,Manhattan,WEST   35 STREET,10001.0
206300,SPACE PING PONG LOUNGE & BAR,Manhattan,WEST   32 STREET,10001.0
58668,"BLACK TAP CRAFT BURGERS AND BEER, LOT 15",Manhattan,WEST   35 STREET,10001.0
88825,LEVY AT JAVITS CENTER,Manhattan,WEST   34 STREET,10001.0
131338,UMAMI BURGER/SA'MOTO,Manhattan,WEST   33 STREET,10001.0
7328,$1 PIZZA,Manhattan,6 AVENUE,10001.0
12640,ITAEWON POCHA,Manhattan,WEST   32 STREET,10001.0
65865,"ROWLAND'S BAR AND GRILL, CHEF STREET",Manhattan,WEST   34 STREET,10001.0
89071,GOLDIE'S TAVERN,Manhattan,WEST   30 STREET,10001.0
5750,SWEETGREEN,Manhattan,WEST   30 STREET,10001.0
205159,CASA TOSCANA,Manhattan,BROADWAY,10001.0
7248,GAMMEEOK,Manhattan,WEST   32 STREET,10001.0
26307,CHOPT,Manhattan,West 31st st,10001.0
31770,ROOFTOP LOUNGE,Manhattan,W 28TH ST,10001.0
5962,SMASHBURGER,Manhattan,7 AVENUE,10001.0
1907,STARBUCKS,Manhattan,WEST   34 STREET,10001.0
86273,MCDONALD'S,Manhattan,6 AVENUE,10001.0
46687,MERCY MANHATTAN CAFE,Manhattan,WEST   34 STREET,10001.0
135407,GEORGE'S FOOD STAND,Manhattan,WEST   34 STREET,10001.0
11256,TWINS PUB,Manhattan,9 AVENUE,10001.0
5911,MILK BAR,Manhattan,BROADWAY,10001.0
1070,KRISPY RICE/ PROPER FOOD,Manhattan,WEST   33 STREET,10001.0
14742,IL PICCOLO RISTORO,Manhattan,WEST   28 STREET,10001.0
664,JAMBA JUICE,Manhattan,AMTRAK LEVEL,10001.0
134425,FAIRFIELD INN CHELSEA,Manhattan,WEST   28 STREET,10001.0
14784,KARAOKE WOW,Manhattan,WEST   32 STREET,10001.0
133911,CLAUDIO,Manhattan,7 AVENUE,10001.0
46359,CHICK-FILL-A,Manhattan,WEST   34 STREET,10001.0
21300,DUNKIN,Manhattan,BROADWAY,10001.0
132811,PELOTON,Manhattan,9 AVENUE,10001.0
76328,LENA,Manhattan,WEST   30 STREET,10001.0
1879,B AND B RESTAURANT,Manhattan,WEST   26 STREET,10001.0
52231,THE WEBSTER APARTMENTS,Manhattan,WEST   34 STREET,10001.0
87811,GREGORYS COFFEE,Manhattan,6 AVENUE,10001.0
205170,NAN XIANG XIAO LONG BAO,Manhattan,WEST   33 STREET,10001.0
10697,L'ADRESSE NOMAD,Manhattan,BROADWAY,10001.0
46199,FIVE GUYS FAMOUS BURGERS AND FRIES,Manhattan,WEST   34 STREET,10001.0
12699,TGI FRIDAY'S,Manhattan,WEST   34 STREET,10001.0
26348,CAFE NUNEZ,Manhattan,WEST   35 STREET,10001.0
66140,HUDSON YARDS TAVERN,Manhattan,9 AVENUE,10001.0
2718,FEROCE & THE FLEUR ROOM,Manhattan,WEST   28 STREET,10001.0
46289,"BURGER KING, CINNABON",Manhattan,BROADWAY,10001.0
7285,HAYMAKER BAR & KITCHEN,Manhattan,WEST   29 STREET,10001.0
12629,GARDEN GRILL & BAR,Manhattan,WEST   35 STREET,10001.0
2888,SHANGHAI MONG,Manhattan,WEST   32 STREET,10001.0
21027,SHUKETTE,Manhattan,9 AVENUE,10001.0
127243,SKIRT STEAK,Manhattan,AVENUE OF THE AMERICAS,10001.0
3036,AMERICA GOURMET FOOD,Manhattan,6 AVENUE,10001.0
488,SUNSCOOP,Manhattan,WEST   33 STREET,10001.0
5370,ILILI RESTAURANT,Manhattan,5 AVENUE,10001.0
44432,BIRCH COFFEE,Manhattan,WEST   33 STREET,10001.0
5334,10TH AVENUE PIZZA & CAFE,Manhattan,10TH AVE BET 24 & 25 ST ),10001.0
92304,"SALUMERIA BEILLESE, BIRICCHINO REST",Manhattan,8 AVENUE,10001.0
